spatial_unit_id,growth_curve_component_id,growth_curve_id,species_id,forest_type_id
26,1,1,29,1
26,2,2,29,1
26,3,3,29,1
26,4,4,65,3
26,5,5,65,3
26,6,6,65,3
26,7,7,2,1
26,8,8,2,1
26,9,9,2,1
26,10,10,14,1
26,11,11,14,1
26,12,12,14,1
26,13,13,63,3
26,14,14,63,3
26,15,15,63,3
26,16,16,76,3
26,17,17,76,3
26,18,18,76,3
26,19,19,6,1
26,20,20,6,1
26,21,21,6,1
27,22,22,29,1
27,23,23,29,1
27,24,24,29,1
27,25,25,65,3
27,26,26,65,3
27,27,27,65,3
27,28,28,2,1
27,29,29,2,1
27,30,30,2,1
27,31,31,14,1
27,32,32,14,1
27,33,33,14,1
27,34,34,63,3
27,35,35,63,3
27,36,36,63,3
27,37,37,76,3
27,38,38,76,3
27,39,39,76,3
27,40,40,6,1
27,41,41,6,1
27,42,42,6,1
28,43,43,29,1
28,44,44,29,1
28,45,45,29,1
28,46,46,65,3
28,47,47,65,3
28,48,48,65,3
28,49,49,2,1
28,50,50,2,1
28,51,51,2,1
28,52,52,14,1
28,53,53,14,1
28,54,54,14,1
28,55,55,63,3
28,56,56,63,3
28,57,57,63,3
28,58,58,76,3
28,59,59,76,3
28,60,60,76,3
28,61,61,6,1
28,62,62,6,1
28,63,63,6,1
29,64,64,29,1
29,65,65,29,1
29,66,66,29,1
29,67,67,65,3
29,68,68,65,3
29,69,69,65,3
29,70,70,2,1
29,71,71,2,1
29,72,72,2,1
29,73,73,14,1
29,74,74,14,1
29,75,75,14,1
29,76,76,63,3
29,77,77,63,3
29,78,78,63,3
29,79,79,76,3
29,80,80,76,3
29,81,81,76,3
29,82,82,6,1
29,83,83,6,1
29,84,84,6,1
30,85,85,29,1
30,86,86,29,1
30,87,87,29,1
30,88,88,65,3
30,89,89,65,3
30,90,90,65,3
30,91,91,2,1
30,92,92,2,1
30,93,93,2,1
30,94,94,14,1
30,95,95,14,1
30,96,96,14,1
30,97,97,63,3
30,98,98,63,3
30,99,99,63,3
30,100,100,76,3
30,101,101,76,3
30,102,102,76,3
30,103,103,6,1
30,104,104,6,1
30,105,105,6,1
