prodclass,spatialunit,speciesId,growthcurveid
1,26,29,1
2,26,29,2
3,26,29,3
1,26,65,4
2,26,65,5
3,26,65,6
1,26,2,7
2,26,2,8
3,26,2,9
1,26,14,10
2,26,14,11
3,26,14,12
1,26,63,13
2,26,63,14
3,26,63,15
1,26,76,16
2,26,76,17
3,26,76,18
1,26,6,19
2,26,6,20
3,26,6,21
1,27,29,22
2,27,29,23
3,27,29,24
1,27,65,25
2,27,65,26
3,27,65,27
1,27,2,28
2,27,2,29
3,27,2,30
1,27,14,31
2,27,14,32
3,27,14,33
1,27,63,34
2,27,63,35
3,27,63,36
1,27,76,37
2,27,76,38
3,27,76,39
1,27,6,40
2,27,6,41
3,27,6,42
1,28,29,43
2,28,29,44
3,28,29,45
1,28,65,46
2,28,65,47
3,28,65,48
1,28,2,49
2,28,2,50
3,28,2,51
1,28,14,52
2,28,14,53
3,28,14,54
1,28,63,55
2,28,63,56
3,28,63,57
1,28,76,58
2,28,76,59
3,28,76,60
1,28,6,61
2,28,6,62
3,28,6,63
1,29,29,64
2,29,29,65
3,29,29,66
1,29,65,67
2,29,65,68
3,29,65,69
1,29,2,70
2,29,2,71
3,29,2,72
1,29,14,73
2,29,14,74
3,29,14,75
1,29,63,76
2,29,63,77
3,29,63,78
1,29,76,79
2,29,76,80
3,29,76,81
1,29,6,82
2,29,6,83
3,29,6,84
1,30,29,85
2,30,29,86
3,30,29,87
1,30,65,88
2,30,65,89
3,30,65,90
1,30,2,91
2,30,2,92
3,30,2,93
1,30,14,94
2,30,14,95
3,30,14,96
1,30,63,97
2,30,63,98
3,30,63,99
1,30,76,100
2,30,76,101
3,30,76,102
1,30,6,103
2,30,6,104
3,30,6,105
