ManagementStatus,Species,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85
Managed Forest,White birch,0,0,0.1,21.3,56.3,89.7,122.3,148.1,164.2,175.6,185.1,193,199.8,203,191.9,109.9,109.9,109.9
Managed Forest,Tamarack/larch,0,0,0.1,21.3,56.3,89.7,122.3,148.1,164.2,175.6,185.1,193,199.8,203,191.9,109.9,109.9,109.9
Managed Forest,White spruce,0,0,0,0,0,0,5.9,15.3,29.4,46.9,66.7,87.5,108.7,129.7,150.1,169.8,188.8,206.8
Managed Forest,Black spruce,0,0,0,0,0,0,5.9,15.3,29.4,46.9,66.7,87.5,108.7,129.7,150.1,169.8,188.8,206.8
Managed Forest,Jack pine,0,0,0,0,0,0,4.2,11.4,22.3,36.6,53.3,71.7,91.1,111,130.8,150.4,169.5,188
Managed Forest,Trembling aspen,0,0,0.1,21.3,56.3,89.7,122.3,148.1,164.2,175.6,185.1,193,199.8,203,191.9,109.9,109.9,109.9
Non Managed Forest,White birch,0,0,0,0,3.1,11.1,23.5,37.8,51.6,63.3,72.6,79.3,83.9,86.6,88.1,89.1,89.5,89.6
Non Managed Forest,Tamarack/larch,0,0,0,0,3.1,11.1,23.5,37.8,51.6,63.3,72.6,79.3,83.9,86.6,88.1,89.1,89.5,89.6
Non Managed Forest,White spruce,0,0,0,0,0,0,0,0.4,4.9,16.1,28.3,45.4,68.6,91,114,135.5,155.2,173.5
Non Managed Forest,Black spruce,0,0,0,0,0,0,0,0.4,4.9,16.1,28.3,45.4,68.6,91,114,135.5,155.2,173.5
Non Managed Forest,Jack pine,0,0,0,0,0,0,0,0.5,7,22.3,36.1,48.7,71.2,92.5,112.1,130.3,146.5,161.4
Non Managed Forest,Trembling aspen,0,0,0,0,3.1,11.1,23.5,37.8,51.6,63.3,72.6,79.3,83.9,86.6,88.1,89.1,89.5,89.6
